"region_txt","summary"
"Western Europe","01/01/2016: An assailant rammed his vehicle into soldiers guarding a mosque in Valence, Auvergne-Rhone-Alpes, France. A soldier was injured in during attack, while a civilian and the assailant were injured when soldiers opened fire. An individual, identified as Raouf El Ayeb, claimed responsibility for the incident and stated that he targeted soldiers because ""troops killed people."""
"Sub-Saharan Africa","01/01/2016: Assailants fired mortars at Jazeera military base in Mogadishu city, Banaadir region, Somalia. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the attack to Al-Shabaab."
"Southeast Asia","01/01/2016: Assailants attacked military and Citizens Armed Forces Geographical Unit (CAFGU) personnel Fuentebella village, Camarines Sur province, Philippines. The assailants sustained an undetermined number of casualties in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Southeast Asia","01/01/2016: An explosive device planted in the vehicle of a national television station employee detonated on Dalem Kaum street, Bandung, West Java province, Indonesia. There were no reported casualties in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: Assailants attacked a military checkpoint in Abyan governorate, Yemen. Three soldiers were killed and three others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"Middle East & North Africa","01/01/2016: Assailants and suicide bombers equipped with explosives-laden vehicles attacked a military headquarters in Tharthar, Al Anbar, Iraq. At least three soldiers and eight assailants were killed and 17 soldiers were injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: An explosive device detonated in Al-Jam'iyyah neighborhood, Ramadi, Al Anbar, Iraq. At least 16 people were killed in the blast. No group claimed responsibility for the incident."
"Sub-Saharan Africa","01/01/2016: Assailants attacked police officers in Bujumbura, Burundi. This was one of two coordinated attacks in the city on the same day. Three police officers were injured across both attacks. No group claimed responsibility for the incidents."
"Sub-Saharan Africa","01/01/2016: Assailants attacked police officers in Bujumbura, Burundi. This was one of two coordinated attacks in the city on the same day. Three police officers were injured across both attacks. No group claimed responsibility for the incidents."
"South Asia","01/01/2016: Assailants set fire to an Awami League office in Bagerhat, Khulna division, Bangladesh. There were no reported casualties. No group claimed responsibility for the incident."
"South Asia","01/01/2016: Assailants abducted eight people in Kafir Kala neighborhood, Farah city, Farah province, Afghanistan. The bodies of two victims, identified as a former provincial council candidate and a son of a former Wolesi Jirga member, were found the following day, while the other six hostages were released. No group claimed responsibility for the incident; however, sources suspected that the Taliban was involved."
"South Asia","01/01/2016: Assailants opened fire on teachers in Prang, Khyber Pakhtunkhwa province, Pakistan. At least three teachers were injured in the assault. No group claimed responsibility for the attack."
"Southeast Asia","01/01/2016: An explosive device detonated at an ATM machine in Mayo, Pattani, Thailand. There were no reported casualties resulting from the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: Assailants launched a missile at Abha city, Asir province, Saudi Arabia. The missile was intercepted by defense forces. No group claimed responsibility for the incident."
"Middle East & North Africa","01/01/2016: An assailant opened fire on a pub in Tel Aviv, Israel. Two people were killed and seven people were injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as Nashat Melhem."
"Sub-Saharan Africa","01/01/2016: Assailants opened fire on residents in Abbasiya, South Kordofan, Sudan. At least six people were killed and 22 others were injured, including five who were sexually assaulted, in the attack that lasted until January 3, 2016. No group claimed responsibility; however, sources attributed the incident to the Janjaweed."
"Sub-Saharan Africa","01/03/2016: Assailants opened fire on the vehicle of Abdisamad Yusuf Ilmi in Mogadishu city, Banaadir region, Somalia. Ilmi, the Galmudug Deputy Minister of Transportation, was not harmed in the attack. No group claimed responsibility for the incident."
"South Asia","01/01/2016: An explosive device detonated inside a generator room at a construction site in Chirand village, Bihar state, India. No one was injured, but the room was damaged in the blast. This was one of two related attacks at the construction site on the same day. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment."
"South Asia","01/01/2016: Explosive devices were discovered and defused at an under-construction bridge in Chirand village, Saran district, Bihar state, India. This was one of two related attacks at the construction site on the same day. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment."
"South Asia","01/01/2016: Assailants abducted Nanhelal Shah, a local trader, from an area near Gairong village, Krishnai, Goalpara district, Assam state, India. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, police officials suspected that the United Liberation Front of Assam (ULFA) was involved."
"South Asia","01/01/2016: Assailants opened fire on the Pakistani Police Deputy Superintendent of Police (DSP) vehicle in Makkuana, Punjab province, Pakistan. There were no reported casualties in the assault. No group claimed responsibility for the attack."
"Southeast Asia","01/02/2016: Assailants opened fire on Feliciano Sano in Bislig city, Surigao del Sur, Philippines. Sano, the Pamaypayan village chief, was killed in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: An explosive device detonated targeting a military patrol in Latifiyah, Babil, Iraq. At least one soldier was killed and four soldiers were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: An explosive device detonated in Amiriyah area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: An explosive device detonated near a cafe in Obaydi area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Assailants fired a rocket at a vehicle in Ramadi, Al Anbar, Iraq. Ali Najm, an Al Ishraq satellite TV station correspondent, was injured in the attack. No group claimed responsibility for the incident."
"South Asia","01/02/2016: Assailants and suicide bombers attacked an Indian Air Force (IAF) base in Pathankot city, Pathankot district, Punjab state, India. At least five assailants and seven security personnel were killed and 20 others were injured in the ensuing clash that continued until January 4, 2016. The United Jihad Council claimed responsibility for the incident; however, Indian authorities denied the claim. Jaish-e-Mohammad (JeM) also claimed responsibility for the attack."
"Sub-Saharan Africa","01/02/2016: A suicide bomber detonated an explosives-laden vest at the Village Restaurant in Mogadishu city, Banaadir region, Somalia. In addition to the suicide bomber, three people were killed in the blast. Al-Shabaab claimed responsibility for the incident."
"South Asia","01/02/2016: Assailants attempted to abduct 15 traders in Mandangre village, Meghalaya state, India. The traders resisted and the assailants opened fire, injuring one person. No group claimed responsibility; however, sources attributed the incident to A'chik Songna An'pachakgipa Kotok (ASAK)."
"Southeast Asia","01/02/2016: Assailants shot and killed a solider in Datu Salibo town, Maguindanao province, Philippines. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Security forces discovered and defused three explosive devices in As Safi River area, Taji, Saladin, Iraq. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Assailants executed 83 Al Jabbur tribal members in Al Hud, Qayyarah, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State of Iraq and the Levant (ISIL). The victims were accused of cooperating with security forces."
"Middle East & North Africa","01/02/2016: Seven suicide bombers attempted to raid a military headquarters east of Fallujah, Al Anbar Iraq. The seven assailants and one soldier were killed and two soldiers were injured in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: An explosives-rigged house detonated in Ramadi city, Al Anbar, Iraq. At least four security force members were killed and six members were injured in the blast. No group claimed responsibility for the incident."
"South Asia","01/02/2016: Security forces discovered and defused an explosive device near Attamipara, Chhattisgarh state, India. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Assailants launched mortar shells at Taizz city, Taizz governorate, Yemen. There were no reported casualties in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Assailants attacked Libyan military positions in Al-Hawari neighborhood, Benghazi city, Benghazi district, Libya. Two soldiers were killed and four were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Barqa Province of the Islamic State."
"Sub-Saharan Africa","01/02/2016: Assailants attacked a Sudanese Army garrison in Mazlagan town, South Kordofan state, Sudan. At least 14 assailants were killed and unknown number were injured in the ensuing clash. The Sudan People's Liberation Movement - North claimed responsibility for the attack."
"South Asia","01/02/2016: Assailants attacked Afghan National Army (ANA) security posts in Shultan, Kunar, Afghanistan. Security forces repelled the assault, killing three assailants and wounding three others. No group claimed responsibility for the attack."
"South Asia","01/02/2016: An explosives-laden truck detonated prematurely in Zer-e-Koh area, Herat province, Afghanistan. Four assailants were killed in the blast. No group claimed responsibility for the incident."
"South Asia","01/02/2016: An explosive device detonated prematurely as assailants were planting it in Kajaki district, Helmand province, Afghanistan. Four assailants were killed in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/02/2016: Assailants fired a rocket at the United States embassy in Baghdad city, Baghdad governorate, Iraq. There were no reported casualties resulting from the attack. No group claimed responsibility for the incident."
"South Asia","01/02/2016: An explosive device detonated at a bus stop in Peshawar Chowk neighborhood, Kohat, Khyber Pakhtunkhwa province, Pakistan. At least six people were killed and 13 others were wounded in the blast. No group claimed responsibility for the attack."
"Western Europe","01/02/2016: Assailants threw a petrol bomb at a house in Banbridge town, Northern Ireland, United Kingdom. There were no reported casualties in the attack. No group claimed responsibility for the incident."
"North America","01/02/2016: At least 12 armed assailants seized the Malheur National Wildlife Refuge headquarters in Princeton, Oregon, United States. On January 26, 2016, a leader of the group was killed, Ryan Bundy was wounded, and seven leaders, including Ammon and Ryan Bundy, were arrested in a confrontation with authorities approximately 45 miles away from the refuge. The last four assailants at the refuge were arrested on February 11, 2016. Citizens for Constitutional Freedom claimed responsibility for the incident and demanded that federal grounds be returned to the ranchers of Harney County. The group also stated that the occupation was carried out in protest to the five year sentence of Dwight and Steven Hammond, two ranchers convicted of arson of federal land."
"Middle East & North Africa","01/03/2016: An explosive device planted on a bus detonated in Sheikh Omar area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: An explosive device detonated near a restaurant in Jisr Diyala area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: An explosive device detonated near a market in Saba al-Bor, Saladin, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: At least two suicide bombers detonated explosives-laden vehicles at a police training camp at Camp Speicher near Tikrit, Saladin, Iraq. In addition to the assailants, at least nine police officers were killed and seven officers were injured in the blasts. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: Explosive devices detonated at the Ammar Bin Yasir Mosque in Hayy al Bakri, Hillah, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","01/03/2016: Explosive devices detonated at the Al Fath Mosque in Sinjar, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","01/03/2016: Explosive devices detonated at a mosque in Iskandariyah, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL)."
"South Asia","01/03/2016: Assailants armed with rocket-propelled grenades (RPGs) and firearms attacked the Indian consulate in Mazari Sharif city, Balkh province, Afghanistan. Seven people, including a police officer, and all six assailants were killed and eight others were injured in the ensuing clash that lasted until January 5, 2016. No group claimed responsibility; however, sources attributed the attack to Jaish-e-Mohammad (JeM)."
"South Asia","01/03/2016: An explosive device detonated near a Pakistan Army vehicle at the Peshawar Motorway toll plaza in Peshawar city, Khyber Pakhtunkhwa province, Pakistan. At least three soldiers were injured in the blast. The Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack."
"South Asia","01/03/2016: An explosive device was discovered and defused in a dustbin near a fish market along Joint Road in Quetta city, Balochistan province, Pakistan. No group claimed responsibility for the attack."
"South Asia","01/03/2016: Assailants fired a projectile that landed and detonated in an orchard in Gomazai, Tump, Balochistan province, Pakistan. At least one civilian was killed in the blast. No group claimed responsibility for the attack."
"Sub-Saharan Africa","01/03/2016: Assailants raided the house of Mahdi Muse in Ceelshiil village, Galguduud region, Somalia. Hussein, a trader, was killed in the attack. This was one of two attacks targeting traders in the village on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"Middle East & North Africa","01/03/2016: Assailants attacked military forces in Hayy al-Jamiah, Fallujah, Al Anbar, Iraq. Security forces repelled the assault, killing nine assailants, including three suicide bombers. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","01/03/2016: Assailants equipped with explosives-laden vehicles attacked Hadithah district, Al Anbar, Iraq. Security forces repelled the assault, killing 13 assailants. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: Assailants attacked Munshaat al-Muthanna, Saladin, Iraq. This was one of two coordinated attacks on the same day, resulting in an unknown number of casualties. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","01/03/2016: Assailants attacked the Ath Tharthar Water Dam area in Tharthar, Al Anbar, Iraq. This was one of two coordinated attacks on the same day, resulting in an unknown number of casualties. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","01/03/2016: An explosive device detonated in Jihad area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and four people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: An explosive device detonated near shops in Turath area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: An explosive device attached to a vehicle detonated in Yarmuk area, Baghdad city, Baghdad governorate, Iraq. The owner of the vehicle, an Interior Ministry captain, was killed in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: Assailants executed 18 women in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL), noting that the victims had refused to participate in sexual acts with ISIL members."
"Middle East & North Africa","01/03/2016: Assailants attacked Tal Mas'ud, Nineveh, Iraq. Security forces repelled the assault, killing three assailants. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","01/03/2016: A sniper shot and wounded an Israel Defense Forces (IDF) soldier near the Cave of the Patriarchs in Hebron, West Bank. This was one of two attacks carried out by the same assailant on this day. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist."
"Middle East & North Africa","01/03/2016: A sniper shot and wounded an Israel Defense Forces (IDF) soldier at the Hakvasim Junction, West Bank. This was one of two attacks carried out by the same assailant on this day. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist."
"Middle East & North Africa","01/03/2016: An assailant attempted to stab an Israeli civilian at a bus stop in Armon Hanatziv neighborhood, East Jerusalem, West Bank. The civilian was not harmed in the attack and police apprehended the assailant. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist."
"Middle East & North Africa","01/03/2016: An explosive device detonated targeting military personnel in Sur district, Diyarbakir, Turkey. One soldier, identified as Kemal Karabacakli, was killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"South Asia","01/03/2016: Assailants set fire to seven pieces of construction equipment in Sirigiri village, Nuapada district, Odisha state, India. No one was injured, but the equipment was damaged. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists."
"Sub-Saharan Africa","01/03/2016: Assailants raided Okpaya village, Nasarawa, Nigeria. At least five people were killed in the attack. This was one of two coordinated assaults on settlements in the area on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to Fulani militants."
"Sub-Saharan Africa","01/03/2016: Assailants raided Udeni Ruwa district, Nasarawa, Nigeria. At least three people were killed in the attack. This was one of two coordinated assaults on settlements in the area on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to Fulani militants."
"South Asia","01/03/2016: Five explosive devices were discovered and defused in Loey Shalman, Federally Administered Tribal Areas, Pakistan. No group claimed responsibility for the attack."
"South Asia","01/03/2016: Assailants attacked two civilians identified as Ramvilas Ram and Ramdeep Ram in Aurangabad district, Bihar state, India. Both civilians were injured in the assault. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment."
"South Asia","01/03/2016: An explosive device detonated along Parakrama Road in Kurana village, Western province, Sri Lanka. Two people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: An explosive device detonated targeting an Iraqi Volunteer Forces vehicle in Yusufiyah, Babil governorate, Iraq. At least three volunteer fighters were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","01/03/2016: Assailants fired a rocket at the Saudi Arabian embassy in Baghdad, Iraq. There were no reported casualties in the blast. No group claimed responsibility; however, sources attributed the attack to the Harakat al-Nujaba militia and noted that the incident occurred following the execution of Ayatollah Sheikh Nimr al-Nimr and 46 others in Saudi Arabia."
"Middle East & North Africa","01/03/2016: Assailants launched a mortar shell at a residential apartment in Sur district, Diyarbakir province, Turkey. One civilian was killed in the attack. No group claimed responsibility for the incident."
"South Asia","01/03/2016: Assailants detonated explosives at a power pylon in an area between Sangin and Kajaki districts, Helmand province, Afghanistan. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"Southeast Asia","01/03/2016: Assailants abducted 26 civilians in a bus in Pipil barangay, Ungkaya Pukan town, Basilan province, Philippines. Security forces successfully rescued the hostages later on the same day. No group claimed responsibility for the abduction; however, sources attributed it to the Abu Sayyaf Group (ASG)."
"Middle East & North Africa","01/03/2016: Assailants attacked a senior military officer in Aden city, Aden governorate, Yemen. The officer was killed and four of his bodyguards were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"Sub-Saharan Africa","01/03/2016: Assailants raided the residence of a trader in Ceelshiil, Galguduud, Somalia. The trader was killed in the assault. This was one of two attacks targeting traders in Ceelshiil on the same day. No group claimed responsibility; however, sources attributed the incident to Al-Shabaab."
"Middle East & North Africa","01/03/2016: Assailants opened fire on civilians attempting to leave their residence in Silopi district, Sirnak, Turkey. At least one person was killed and two others were injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"Middle East & North Africa","01/04/2016: An explosive device detonated near a produce market in Al Bakriyah, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An explosive device detonated near shops in As Siba area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An explosive device detonated near shops in Shuala area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"South Asia","01/04/2016: A suicide bomber detonated an explosives-laden vehicle at a police checkpoint near Kabul airport in Kabul city, Kabul province, Afghanistan. The bomber was killed and there were no other reported casualties. This was one of two suicide bombings that occurred in the area on this date. The Taliban claimed responsibility for the incidents."
"South Asia","01/04/2016: A suicide bomber detonated an explosives-laden vehicle targeting a United States Diplomatic Security Service (DSS) convoy near Kabul airport in Kabul city, Kabul province, Afghanistan. The bomber was killed and 19 civilians were injured in the blast. This was one of two suicide bombings that occurred in the area on this date. The Taliban claimed responsibility for the incidents."
"South Asia","01/03/2016: Assailants threw a grenade at a Pakistani Police vehicle in Par Hoti, Khyber Pakhtunkhwa province, Pakistan. At least two constables were injured in the blast. No group claimed responsibility for the attack."
"South Asia","01/04/2016: Assailants opened fire on a Pakistani Police checkpost in Bibi Nani Ziarat neighborhood, Quetta, Balochistan province, Pakistan. At least two constables were killed in the assault. No group claimed responsibility for the attack."
"Middle East & North Africa","01/04/2016: Suicide bombers detonated two explosives-laden vehicles at a Petroleum Facilities Guard (PFG) checkpoint in Sidra town, Sirte district, Libya. Additional assailants opened fire on the checkpoint. At least three people and four assailants were killed and an unknown number of people were injured in the ensuing clash; the victims included PFG members and civilians. This was one of two related attacks near oil facilities in Sirte on this day. The Tripoli Province of the Islamic State claimed responsibility for the attack."
"Middle East & North Africa","01/04/2016: Assailants attacked a Petroleum Facilities Guard (PFG) checkpoint in Ras Lanuf town, Sirte district, Libya. There were no reported casualties in the attack; however, an oil tank was set on fire. This was one of two related attacks near oil facilities in Sirte on this day. The Tripoli Province of the Islamic State claimed responsibility for the incident."
"South Asia","01/04/2016: An assailant opened fire on Qaif Saifuddin Sadat in Khiri Bagh neighborhood, Abyak city, Samangan province, Afghanistan. Sadat, the Samangan province High Peace Council chief, was killed in the attack. An individual, identified as Abdul Ahad, confessed to carrying out the attack and stated that he had received orders from the Taliban."
"South Asia","01/03/2016: Assailants fired a mortar into Sangin district, Helmand province, Afghanistan. An electricity department employee, identified as Mohammad Hussain, was killed in the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","01/04/2016: Assailants attacked a police station War Maxan village, Lower Shebelle region, Somalia. Three assailants and one soldier were killed in the ensuing clash. Al-Shabaab claimed responsibility for the incident."
"Sub-Saharan Africa","01/04/2016: An explosive device detonated and assailants opened fire targeting an African Union Mission in Somalia (AMISOM) convoy in Leego village, Bay region, Somalia. Three soldiers were wounded in the attack. No group claimed responsibility for the incident."
"South Asia","01/04/2016: Assailants attacked an unknown number of police posts in Farm Chahar area, Nangarhar province, Afghanistan. Fifteen assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Khorasan Chapter of the Islamic State."
"Middle East & North Africa","01/04/2016: An unknown number of explosive devices were discovered and defused in Arish city, North Sinai governorate, Egypt. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An unknown number of explosive devices were discovered and defused in Sheikh Zuweid city, North Sinai governorate, Egypt. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An unknown number of explosive devices were discovered and defused in Rafah, North Sinai, Egypt. No group claimed responsibility for the incident."
"Sub-Saharan Africa","01/04/2016: Assailants on a motorcycle threw an explosive device targeting a Catholic convent building in Bujumbura, Burundi. One civilian was injured in the attack. No group claimed responsibility for the attack."
"Sub-Saharan Africa","01/04/2016: Assailants threw an explosive device that landed and detonated near a bank in Bujumbura, Burundi. A civilian was injured in the attack. No group claimed responsibility for the attack."
"South Asia","01/04/2016: An explosive device was discovered and defused under Hanjerwal Bridge in Lahore, Punjab province, Pakistan. No group claimed responsibility for the attack."
"Middle East & North Africa","01/04/2016: An explosive device detonated near a civilian gathering in Ma'rib city, Yemen. Two people were killed and four people were injured as a result of the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An assailant stabbed civilians near light rail tracks on Bar Lev Street, Jerusalem, Israel. Two civilians were injured in the attack and the assailant was injured when police opened fire. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist."
"Middle East & North Africa","01/04/2016: An explosive device detonated targeting an Israel Defense Forces (IDF) patrol in the Shebba Heights area, Hor Dov, Golan Heights, Israel. There were no reported casualties in the blast. Hezbollah claimed responsibility for the incident and stated that the attack was carried out in retaliation for the killing of former Hezbollah leader Samir Kantar."
"Middle East & North Africa","01/04/2016: A sniper opened fire on a police officer in Sur district, Diyarbakir province, Turkey. The officer, identified as Musa Yuce, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"South Asia","01/04/2016: Five explosive devices were discovered and defused in Aranpur area, Chhattisgarh state, India. The devices were thought to be targeting Indian Armed Forces soldiers. No group claimed responsibility; however, sources attributed the incident to Maoists."
"Sub-Saharan Africa","01/05/2016: Assailants raided Izgeki village, Borno, Nigeria. A suicide bomber detonated, killing two people. A second suicide bomber followed the fleeing residents and detonated as they crossed the river into the neighboring village of Izghe, killing five more people. This was one of two coordinated attacks in the area on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram."
"Sub-Saharan Africa","01/04/2016: Assailants kidnapped Ismaila Sago, the Dabanga police chief, and his companion in Dabanga, Extreme-North, Cameroon. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram."
"Sub-Saharan Africa","01/04/2016: Assailants raided Toshia village, Borno, Nigeria. An unknown number of residents were injured and the village was set on fire during the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram."
"Sub-Saharan Africa","01/04/2016: Assailants attacked a Turkish residential compound in Mogadishu city, Banaadir region, Somalia. One assailant was killed and one security guard was injured in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: Gunmen opened fire on police officers in Awamiyah, Eastern province, Saudi Arabia. One civilian was killed and one was wounded in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","01/04/2016: An explosive device detonated near a vehicle showroom in al-Khalisa area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and five people were injured in the blast. No group claimed responsibility for the incident."
